model,image,input_size,detections,best_class_id,best_label,best_confidence,best_left,best_top,best_right,best_bottom,preprocess_ms,inference_ms,total_ms,cpu_percent,pss_mb,rss_mb,model_size_mb,gpu_usage_percent,delegate
"yolo11n_320","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",320,3,5,"107-cam-oto-khach-va-oto-tai",0.8550,375.6494,276.8877,395.4695,294.7623,37.7158,174.3981,215.1693,111.5312,164.7344,208.5156,10.1063,,"CPU"
"yolo11n_320","4_mp4-0002_jpg.rf.378ddc9a1b8edabcf6883c5a72b0e80d.jpg",320,1,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9553,385.3840,64.7968,530.5889,147.8141,37.2087,172.6503,213.1988,113.4998,166.2900,209.9180,10.1063,,"CPU"
"yolo11n_320","4_mp4-0065_jpg.rf.4a889c6bd7bfa8515b55bae6d21a9858.jpg",320,1,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9720,466.5132,49.7655,617.2212,134.6823,37.4216,176.8214,217.5251,113.0786,167.7207,211.5234,10.1063,,"CPU"
"yolo11n_320","4_mp4-0079_jpg.rf.7bb0baec5c447fec393734ddc09eba72.jpg",320,1,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9752,456.3092,58.1317,608.2054,143.9282,37.1367,176.4007,217.6520,114.3906,169.3203,212.9961,10.1063,,"CPU"
"yolo11n_320","517_jpg.rf.3365e9d3f7787c53d4f330c9317b2c3d.jpg",320,1,30,"137-cam-re-trai-va-re-phai",0.9054,362.9464,116.8424,393.7120,166.3769,37.5038,184.0610,225.1984,117.2196,170.5430,214.6016,10.1063,,"CPU"
"yolo11n_320","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",320,2,33,"205-duong-giao-nhau",0.7962,319.5968,206.8929,397.8807,250.0178,37.3482,177.8834,218.5617,112.5428,172.3389,216.0156,10.1063,,"CPU"
"yolo11n_320","6432941026760_mp4-0002_jpg.rf.a3ad0991ac8035a20fec19321776f20e.jpg",320,1,39,"225-chu-y-tre-em",0.8478,87.6674,301.1774,140.4590,330.1695,42.2868,178.1271,226.0372,129.6014,157.9980,202.1719,10.1063,,"CPU"
"yolo11n_320","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",320,3,35,"208-giao-nhau-voi-duong-uu-tien",0.8314,495.9558,318.4756,545.1764,347.2867,37.0648,176.1798,216.7381,112.5678,159.9639,203.8281,10.1063,,"CPU"
"yolo11n_320","6438222152829_mp4-0073_jpg.rf.821d491f7ae20e69e29ea8667ad15bf4.jpg",320,1,18,"127-toc-do-toi-da-70",0.9698,317.5959,261.6425,366.6760,289.7771,37.8624,177.9165,220.0077,116.8011,161.3320,205.0508,10.1063,,"CPU"
"yolo11n_320","6438222152829_mp4-0115_jpg.rf.9ecc4398589661778243262d2d7b58a7.jpg",320,1,18,"127-toc-do-toi-da-70",0.9140,81.1733,306.0532,127.9416,333.7158,37.0047,174.0415,214.1018,114.4240,162.7627,206.9844,10.1063,,"CPU"
"yolo11n_320","7_jpg.rf.fc20b3103435b9baf0d1537e5b75d37e.jpg",320,2,30,"137-cam-re-trai-va-re-phai",0.9608,0.0000,250.0876,22.2123,297.0654,37.2904,176.6048,217.0744,113.7770,164.3535,208.1914,10.1063,,"CPU"
"yolo11n_320","812_jpg.rf.9042caec1c9cb13ffd30654e9ef12a6f.jpg",320,2,23,"131a-cam-do-xe",0.6788,434.2564,204.5791,456.6446,241.1138,37.6048,173.0185,214.2970,112.9145,165.9424,209.7813,10.1063,,"CPU"
"yolo11n_320","8_jpg.rf.2f29afa5c73f30e6db9c8febb349fdd5.jpg",320,4,30,"137-cam-re-trai-va-re-phai",0.9021,27.5650,207.3852,59.7022,260.0875,37.5021,174.3689,215.2504,116.1356,167.1377,211.6250,10.1063,,"CPU"
"yolo11n_320","946_jpg.rf.adbd2325400dbee2acc362c831534168.jpg",320,2,57,"442-cho",0.9496,406.8635,349.1758,430.6972,387.1200,37.4597,176.6943,217.2295,113.2374,168.8174,212.9414,10.1063,,"CPU"
"yolo11n_320","986_jpg.rf.fb6f79659a343c46b133dd894286529e.jpg",320,4,37,"221-duong-go-ghe",0.9031,589.6100,247.7359,622.0400,288.2263,37.4106,177.6794,218.3106,112.2188,170.0557,214.2461,10.1063,,"CPU"
"yolo11n_320","A-nh-ma-n-hi-nh-2025-03-23-lu-c-00_00_38_png.rf.33d0b8be20a15121992d6c781612db26.jpg",320,1,29,"136-cam-di-thang",0.9670,25.7017,117.2264,149.3426,299.0151,37.1543,172.9298,213.3889,113.8702,171.8682,215.8711,10.1063,,"CPU"
"yolo11n_320","Eddy2612-online-video-cutter_com-_mp4-0087_jpg.rf.a8b63de290830a8a569ab9b94e8c6b56.jpg",320,1,13,"127-toc-do-toi-da-20",0.8932,278.4376,128.2461,375.7215,185.7953,41.4378,172.3498,217.3566,132.4937,166.9229,210.8750,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-03-23-lu-c-22_08_05_mov-0054_jpg.rf.8210917d1062e06e013d0cd56a0af732.jpg",320,1,49,"303-noi-giao-nhau-chay-theo-vong-xuyen",0.9893,192.8326,25.6953,447.6739,348.6200,37.1618,173.6013,214.0203,120.0747,160.7119,204.8516,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-03-23-lu-c-22_25_28_mov-0039_jpg.rf.c3dffa99ceeb2ccfac3193655497d12e.jpg",320,1,36,"209-giao-nhau-co-tin-hieu-den",0.9167,131.4229,116.7007,223.9999,255.0274,37.3116,171.9538,212.3374,120.5551,162.3613,206.2852,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-03-23-lu-c-22_25_28_mov-0146_jpg.rf.e35fdd91170a46c9280260785119000e.jpg",320,1,36,"209-giao-nhau-co-tin-hieu-den",0.9162,131.4346,116.7874,223.9410,254.9979,37.3057,174.4605,214.8260,121.4861,164.1152,208.2070,10.1063,,"CPU"
