manufacturer,device_model,android_version,sdk_int,hardware,cpu_cores,model,image,input_size,detection_index,class_id,label,confidence,left,top,right,bottom,preprocess_ms,inference_ms,total_ms,cpu_percent,pss_mb,rss_mb,model_size_mb,gpu_usage_percent,delegate
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",320,0,5,"107-cam-oto-khach-va-oto-tai",0.8550,375.6494,276.8877,395.4695,294.7623,22.9013,84.9076,108.9938,105.4968,158.3174,190.9844,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",320,1,16,"127-toc-do-toi-da-50",0.6853,337.9501,315.0884,354.0487,328.5334,22.9013,84.9076,108.9938,105.4968,158.3174,190.9844,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",320,2,16,"127-toc-do-toi-da-50",0.5024,337.7632,330.7130,354.1420,347.3742,22.9013,84.9076,108.9938,105.4968,158.3174,190.9844,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","4_mp4-0002_jpg.rf.378ddc9a1b8edabcf6883c5a72b0e80d.jpg",320,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9553,385.3840,64.7968,530.5889,147.8141,23.0054,85.8357,110.0416,106.3123,158.8223,191.3984,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","4_mp4-0065_jpg.rf.4a889c6bd7bfa8515b55bae6d21a9858.jpg",320,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9720,466.5132,49.7655,617.2212,134.6823,23.0985,86.7395,110.9918,107.2036,159.2871,191.8359,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","4_mp4-0079_jpg.rf.7bb0baec5c447fec393734ddc09eba72.jpg",320,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9752,456.3092,58.1317,608.2054,143.9282,22.9500,84.4881,108.6698,107.6531,159.7441,192.2695,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","517_jpg.rf.3365e9d3f7787c53d4f330c9317b2c3d.jpg",320,0,30,"137-cam-re-trai-va-re-phai",0.9054,362.9464,116.8424,393.7120,166.3769,22.8568,83.9592,108.0331,105.5059,160.2012,192.7070,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",320,0,33,"205-duong-giao-nhau",0.7962,319.5968,206.8929,397.8807,250.0178,23.0632,85.6017,109.8957,104.6314,160.6699,193.1406,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",320,1,38,"224-duong-nguoi-di-bo-cat-ngang",0.4682,318.8261,252.6411,391.6990,287.0541,23.0632,85.6017,109.8957,104.6314,160.6699,193.1406,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432941026760_mp4-0002_jpg.rf.a3ad0991ac8035a20fec19321776f20e.jpg",320,0,39,"225-chu-y-tre-em",0.8478,87.6674,301.1774,140.4590,330.1695,23.0825,84.4514,108.6567,106.7450,161.1660,193.6055,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",320,0,35,"208-giao-nhau-voi-duong-uu-tien",0.8314,495.9558,318.4756,545.1764,347.2867,23.0736,83.4377,108.0135,105.5295,161.6270,194.0391,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",320,1,29,"136-cam-di-thang",0.7944,501.3384,263.4103,536.5554,289.9504,23.0736,83.4377,108.0135,105.5295,161.6270,194.0391,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",320,2,29,"136-cam-di-thang",0.6773,138.4677,337.5217,169.5555,358.4005,23.0736,83.4377,108.0135,105.5295,161.6270,194.0391,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6438222152829_mp4-0073_jpg.rf.821d491f7ae20e69e29ea8667ad15bf4.jpg",320,0,18,"127-toc-do-toi-da-70",0.9698,317.5959,261.6425,366.6760,289.7771,23.2514,87.5734,112.2977,108.6249,162.0947,194.4961,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","6438222152829_mp4-0115_jpg.rf.9ecc4398589661778243262d2d7b58a7.jpg",320,0,18,"127-toc-do-toi-da-70",0.9140,81.1733,306.0532,127.9416,333.7158,23.6023,86.1164,110.9965,105.3972,162.5479,195.1523,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","7_jpg.rf.fc20b3103435b9baf0d1537e5b75d37e.jpg",320,0,30,"137-cam-re-trai-va-re-phai",0.9608,0.0000,250.0876,22.2123,297.0654,26.0444,92.2362,119.6465,128.6810,156.4492,189.0898,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","7_jpg.rf.fc20b3103435b9baf0d1537e5b75d37e.jpg",320,1,30,"137-cam-re-trai-va-re-phai",0.4950,12.5565,374.8983,31.4246,407.4866,26.0444,92.2362,119.6465,128.6810,156.4492,189.0898,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","812_jpg.rf.9042caec1c9cb13ffd30654e9ef12a6f.jpg",320,0,23,"131a-cam-do-xe",0.6788,434.2564,204.5791,456.6446,241.1138,23.0382,88.3543,112.5726,109.2488,156.7158,189.3555,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","812_jpg.rf.9042caec1c9cb13ffd30654e9ef12a6f.jpg",320,1,22,"130-cam-dung-va-do-xe",0.3328,434.0685,204.3905,456.5085,240.6703,23.0382,88.3543,112.5726,109.2488,156.7158,189.3555,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","8_jpg.rf.2f29afa5c73f30e6db9c8febb349fdd5.jpg",320,0,30,"137-cam-re-trai-va-re-phai",0.9021,27.5650,207.3852,59.7022,260.0875,22.9594,86.9583,111.3257,105.9805,157.1758,189.7969,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","8_jpg.rf.2f29afa5c73f30e6db9c8febb349fdd5.jpg",320,1,30,"137-cam-re-trai-va-re-phai",0.6158,34.1797,341.6412,58.0897,379.1680,22.9594,86.9583,111.3257,105.9805,157.1758,189.7969,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","8_jpg.rf.2f29afa5c73f30e6db9c8febb349fdd5.jpg",320,2,4,"106-cam-oto-tai",0.5874,33.5502,341.6962,58.5582,379.3158,22.9594,86.9583,111.3257,105.9805,157.1758,189.7969,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","8_jpg.rf.2f29afa5c73f30e6db9c8febb349fdd5.jpg",320,3,30,"137-cam-re-trai-va-re-phai",0.3433,237.8269,422.5782,254.4718,439.2402,22.9594,86.9583,111.3257,105.9805,157.1758,189.7969,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","946_jpg.rf.adbd2325400dbee2acc362c831534168.jpg",320,0,57,"442-cho",0.9496,406.8635,349.1758,430.6972,387.1200,23.1283,86.3507,110.7386,106.5462,157.6719,190.2578,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320","946_jpg.rf.adbd2325400dbee2acc362c831534168.jpg",320,1,23,"131a-cam-do-xe",0.8781,406.5921,304.3705,432.1628,348.2583,23.1283,86.3507,110.7386,106.5462,157.6719,190.2578,10.1063,,"CPU-1T"
