manufacturer,device_model,android_version,sdk_int,hardware,cpu_cores,model,image,input_size,detection_index,class_id,label,confidence,left,top,right,bottom,preprocess_ms,inference_ms,total_ms,cpu_percent,pss_mb,rss_mb,model_size_mb,gpu_usage_percent,delegate
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",640,0,5,"107-cam-oto-khach-va-oto-tai",0.9130,375.5229,276.9298,399.1465,295.6458,88.7528,366.8202,459.9906,106.7398,212.1074,245.1641,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","376_jpg.rf.4be45b6bd889aa6e8432f712997e88dd.jpg",640,1,16,"127-toc-do-toi-da-50",0.9032,339.3989,315.8801,356.0287,327.8964,88.7528,366.8202,459.9906,106.7398,212.1074,245.1641,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","4_mp4-0002_jpg.rf.378ddc9a1b8edabcf6883c5a72b0e80d.jpg",640,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9762,385.5066,66.2887,530.0763,148.5934,89.4903,353.7110,447.2158,106.2114,213.7949,246.8945,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","4_mp4-0002_jpg.rf.378ddc9a1b8edabcf6883c5a72b0e80d.jpg",640,1,35,"208-giao-nhau-voi-duong-uu-tien",0.3106,0.0490,486.1882,22.3605,605.9689,89.4903,353.7110,447.2158,106.2114,213.7949,246.8945,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","4_mp4-0065_jpg.rf.4a889c6bd7bfa8515b55bae6d21a9858.jpg",640,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9553,469.2234,49.3780,617.4150,132.2784,89.0533,362.4906,455.7887,107.9434,215.4941,248.7617,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","4_mp4-0065_jpg.rf.4a889c6bd7bfa8515b55bae6d21a9858.jpg",640,1,35,"208-giao-nhau-voi-duong-uu-tien",0.8086,616.1382,370.2969,640.0000,480.3217,89.0533,362.4906,455.7887,107.9434,215.4941,248.7617,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","4_mp4-0079_jpg.rf.7bb0baec5c447fec393734ddc09eba72.jpg",640,0,45,"301d-cac-xe-chi-duoc-re-phai-2",0.9620,458.5079,57.5009,606.2544,142.2722,88.5169,350.3823,442.9980,105.8684,217.1699,250.3789,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","517_jpg.rf.3365e9d3f7787c53d4f330c9317b2c3d.jpg",640,0,30,"137-cam-re-trai-va-re-phai",0.9801,363.0372,117.3024,393.0273,166.7369,88.2570,349.5630,441.8148,105.4725,218.8535,251.9688,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",640,0,33,"205-duong-giao-nhau",0.6213,319.5017,207.4012,398.2732,250.5506,88.2710,361.3852,453.5597,106.0487,220.5156,253.5742,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",640,1,31,"201-cho-ngoat-nguy-hiem",0.2748,317.5643,249.1692,386.8170,286.5442,88.2710,361.3852,453.5597,106.0487,220.5156,253.5742,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432930985452_mp4-0006_jpg.rf.2a8f28c40fd6ecda3333caa0532c516f.jpg",640,2,37,"221-duong-go-ghe",0.2531,316.2248,249.2740,388.3438,287.1611,88.2710,361.3852,453.5597,106.0487,220.5156,253.5742,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432941026760_mp4-0002_jpg.rf.a3ad0991ac8035a20fec19321776f20e.jpg",640,0,39,"225-chu-y-tre-em",0.9608,86.7615,302.9297,138.5606,331.4411,88.2904,348.7328,441.2665,106.9634,222.2148,255.1992,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",640,0,29,"136-cam-di-thang",0.9568,136.9612,338.4864,169.7088,358.2619,88.6140,349.9453,443.2561,104.9040,223.8867,256.8047,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",640,1,29,"136-cam-di-thang",0.9380,499.5150,263.3707,535.8569,288.6814,88.6140,349.9453,443.2561,104.9040,223.8867,256.8047,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6432944636915_mp4-0028_jpg.rf.e2faf3f5559fde6bf98d92b08f8df413.jpg",640,2,35,"208-giao-nhau-voi-duong-uu-tien",0.7232,497.8756,318.7058,542.7155,346.0230,88.6140,349.9453,443.2561,104.9040,223.8867,256.8047,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6438222152829_mp4-0073_jpg.rf.821d491f7ae20e69e29ea8667ad15bf4.jpg",640,0,18,"127-toc-do-toi-da-70",0.9368,318.0796,261.4658,366.4275,290.8425,88.5466,354.4275,446.9105,104.9418,225.6094,258.4492,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","6438222152829_mp4-0115_jpg.rf.9ecc4398589661778243262d2d7b58a7.jpg",640,0,18,"127-toc-do-toi-da-70",0.8691,79.6095,305.9140,129.3829,333.6627,88.7620,348.7342,441.4500,105.7861,227.3086,260.3008,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","7_jpg.rf.fc20b3103435b9baf0d1537e5b75d37e.jpg",640,0,30,"137-cam-re-trai-va-re-phai",0.9950,10.0426,374.9167,32.6854,407.9128,88.9454,348.0513,441.1914,106.0753,228.9922,261.9141,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640","7_jpg.rf.fc20b3103435b9baf0d1537e5b75d37e.jpg",640,1,30,"137-cam-re-trai-va-re-phai",0.9704,0.1227,249.7881,22.3562,296.0668,88.9454,348.0513,441.1914,106.0753,228.9922,261.9141,10.1784,,"CPU-1T"
