manufacturer,device_model,android_version,sdk_int,hardware,cpu_cores,model,input_size,images,detection_rate_percent,mean_conf_detected_only,mean_conf_all,preprocess_mean_ms,inference_mean_ms,inference_median_ms,inference_p95_ms,total_mean_ms,total_median_ms,total_p95_ms,estimated_fps,cpu_mean_percent,cpu_median_percent,cpu_p95_percent,pss_mean_mb,pss_peak_mb,rss_mean_mb,rss_peak_mb,model_size_mb,gpu_usage_percent,delegate
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640",640,100,93.0000,0.8936,0.8311,89.3554,351.7679,349.7086,363.6776,445.2760,443.1272,456.9739,2.2567,106.0810,105.6088,108.1798,235.0916,267.7969,268.1281,301.1250,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640",640,100,93.0000,0.8936,0.8311,89.3639,350.4349,348.7796,360.6169,443.8939,442.2817,455.0467,2.2610,105.8439,105.5556,106.4725,234.6321,267.4316,266.8933,299.7109,10.1784,,"CPU-4T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640",640,100,93.0000,0.8938,0.8312,89.6539,103.0348,102.7005,107.9941,196.7043,196.1579,202.7933,5.0979,60.1393,59.6447,61.1771,248.5548,281.5967,282.2300,315.1953,10.1784,,"GPU"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640",640,100,93.0000,0.8936,0.8311,89.2843,349.6085,348.6322,356.4428,442.9836,441.9064,452.3218,2.2629,105.7241,105.4508,106.5351,251.5252,285.4434,284.4855,318.1680,10.1784,,"NNAPI"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_fp16",640,100,93.0000,0.8939,0.8313,88.2556,355.1260,353.9197,366.5026,447.4661,445.5406,458.5050,2.2445,105.8154,105.5404,106.8228,249.6220,283.5361,282.0304,315.8359,5.1396,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_fp16",640,100,93.0000,0.8939,0.8313,88.0456,354.1799,353.1299,364.1890,446.2916,444.9712,457.5152,2.2473,105.8276,105.5438,106.8787,249.1790,281.8896,281.2865,313.9805,5.1396,,"CPU-4T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_fp16",640,100,93.0000,0.8937,0.8311,88.0680,103.5668,103.4420,110.2301,195.5802,195.3925,202.0159,5.1179,59.7711,59.3488,61.2489,252.0713,284.2949,286.0202,318.0039,5.1396,,"GPU"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_fp16",640,100,93.0000,0.8939,0.8313,87.8101,351.8282,351.0571,360.2671,443.6683,442.7689,452.1251,2.2585,105.6598,105.3620,106.3795,252.7250,286.0547,285.7453,319.2500,5.1396,,"NNAPI"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_int8",640,100,93.0000,0.8989,0.8359,88.0936,222.1455,220.7485,230.5462,314.3497,312.7851,325.3633,3.1971,106.0260,105.4911,107.7952,241.2094,273.9688,274.4296,307.2461,2.8611,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640_int8",640,100,93.0000,0.8989,0.8359,88.1309,224.1100,223.2566,232.9383,316.3924,315.3662,326.1558,3.1709,106.1750,105.6758,107.5360,241.3608,274.0918,274.6318,307.3125,2.8611,,"CPU-4T"
